MASTERCLIENT,LOCATIONCODE,ITEMNO,DESCRIPTION,DESCRIPTION2,OKQUANTITY,REJECTQUANTITY,HOLDQUANTITY,TOTALQUANTITY,PUTAWAYOUTSTANDINGQTY,GATEENTRYOUTSTANDING,UOM,ITEMCATEGORYCODE,BRANDCODE,VENDORCODE,VENDORNAME,GRNNUMBER,ASNNO,GRNREGISTEREDDATE,CLIENTGRNDATE,PETSTYLECODE,STYLENAME,COLORCODE,SIZECODE,SOURCENO,INVOICENO,INVOICEDATE,VEHICLEARRIVALDATETIME,STATUS,POTYPE,CREATEDBY,MODIFYBY,IMEI,BOXID,STOREID,LOTNO,SERIALNO,LOTEXPIRY,MRP,VENDORBATCHNO,MFGDATE,PONO,PURCHASEPRICE,VENDORORDERNO,DISPATCHTYPE,ITEMSERIALNO,TOTALWAREHOUSEQUANTITY,CONTAINERNO,PONO2,COUNTRY_OF_ORIGIN,CATEGORY,BILL_OF_LADING,BILL_OF_ENTRY,WEIGHT,VOLUME,LPNCODE,ITEMCBM,ASNCBM,TOTALITEMCBM,TOTALASNCBM,NO2,BINCODE,TRANSPORTERNAME,VEHICLENO,DOCKETNO,VENDORADDRESS,SOURCETYPE,DEVICEMAC,DATA_MONTH
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,0,0,PCS,ELECTRONICS,,015-PRAYAGRAJ,,GRN/2025/3183,,2026-01-30T13:25:15,,WM-02,,,,TR/2425/34,TR/2425/34,2026-01-30T00:00:00,,Closed,,Rahul,Rahul,,,,GX/G/25-26/417,GX127558,,0,,2025-09-05T00:00:00,,2200,TO/2025/40,Warehouse,,1,,,,,,,0,0,DEL_CX4313,0,0,0,0,ONT,,,,,,Transfer Receipt,B486187B5B92,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,015-PRAYAGRAJ,,GRN/2025/3173,,2026-01-29T15:46:23,,WM-02,,,,TR/2425/32,TR/2425/32,2026-01-29T00:00:00,,Released,,Rahul,Rahul,,,,GX/G/25-26/417,GX127313,,0,,2025-09-05T00:00:00,,2200,TO/2025/37,Warehouse,,1,,,,,,,0,0,DEL_CX2994,0,0,0,0,ONT,,,,,,Transfer Receipt,B486187A1C42,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,015-PRAYAGRAJ,,GRN/2025/3173,,2026-01-29T15:46:23,,WM-02,,,,TR/2425/32,TR/2425/32,2026-01-29T00:00:00,,Released,,Rahul,Rahul,,,,GX/G/25-26/417,GX127314,,0,,2025-09-05T00:00:00,,2200,TO/2025/37,Warehouse,,1,,,,,,,0,0,DEL_CX2994,0,0,0,0,ONT,,,,,,Transfer Receipt,B486187B0122,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,015-PRAYAGRAJ,,GRN/2025/3173,,2026-01-29T15:46:23,,WM-02,,,,TR/2425/32,TR/2425/32,2026-01-29T00:00:00,,Released,,Rahul,Rahul,,,,GX/G/25-26/417,GX127778,,0,,2025-09-05T00:00:00,,2200,TO/2025/37,Warehouse,,1,,,,,,,0,0,DEL_CX2994,0,0,0,0,ONT,,,,,,Transfer Receipt,B486187AF4C2,2026-01-01
WIOM,001-SAKET,WM-02,Wiom ONT_GX-Titanium E20/Earth 2022,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,015-PRAYAGRAJ,,GRN/2025/3173,,2026-01-29T15:46:23,,WM-02,,,,TR/2425/32,TR/2425/32,2026-01-29T00:00:00,,Released,,Rahul,Rahul,,,,GX/G/25-26/417,GX127557,,0,,2025-09-05T00:00:00,,2200,TO/2025/37,Warehouse,,1,,,,,,,0,0,DEL_CX2994,0,0,0,0,ONT,,,,,,Transfer Receipt,B486187C6052,2026-01-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,015-PRAYAGRAJ,,GRN/2025/3171,,2026-01-29T15:32:48,,WM-03,,,,TR/2425/30,TR/2425/30,2026-01-29T00:00:00,,Released,,Rahul,Rahul,,,,NOD/2526/6290,SY103850,,0,,2025-09-18T00:00:00,,1950,TO/2025/35,Warehouse,,1,,,,,,,0,0,DEL_CX5055,0,0,0,0,ONT,,,,,,Transfer Receipt,989DB2B62A10,2026-01-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,015-PRAYAGRAJ,,GRN/2025/3171,,2026-01-29T15:32:48,,WM-03,,,,TR/2425/30,TR/2425/30,2026-01-29T00:00:00,,Released,,Rahul,Rahul,,,,NOD/2526/6290,SY103957,,0,,2025-09-18T00:00:00,,1950,TO/2025/35,Warehouse,,1,,,,,,,0,0,DEL_CX5053,0,0,0,0,ONT,,,,,,Transfer Receipt,989DB2B61558,2026-01-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,015-PRAYAGRAJ,,GRN/2025/3171,,2026-01-29T15:32:48,,WM-03,,,,TR/2425/30,TR/2425/30,2026-01-29T00:00:00,,Released,,Rahul,Rahul,,,,NOD/2526/6290,SY103959,,0,,2025-09-18T00:00:00,,1950,TO/2025/35,Warehouse,,1,,,,,,,0,0,DEL_CX5045,0,0,0,0,ONT,,,,,,Transfer Receipt,989DB2B615B0,2026-01-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,015-PRAYAGRAJ,,GRN/2025/3171,,2026-01-29T15:32:48,,WM-03,,,,TR/2425/30,TR/2425/30,2026-01-29T00:00:00,,Released,,Rahul,Rahul,,,,NOD/2526/6290,SY103855,,0,,2025-09-18T00:00:00,,1950,TO/2025/35,Warehouse,,1,,,,,,,0,0,DEL_CX5063,0,0,0,0,ONT,,,,,,Transfer Receipt,989DB2B62778,2026-01-01
WIOM,001-SAKET,WM-03,Wiom ONT_SY-GPON-2000-WADONT-WHITE,Normal BAU,1,0,0,1,1,0,PCS,ELECTRONICS,,015-PRAYAGRAJ,,GRN/2025/3171,,2026-01-29T15:32:48,,WM-03,,,,TR/2425/30,TR/2425/30,2026-01-29T00:00:00,,Released,,Rahul,Rahul,,,,NOD/2526/6031,SY103126,,0,,2025-09-11T00:00:00,,1950,TO/2025/35,Warehouse,,1,,,,,,,0,0,DEL_CX4553,0,0,0,0,ONT,,,,,,Transfer Receipt,989DB2B62758,2026-01-01
